transaction_id,business_date,timestamp,agent_id,customer_phone,region,product_sku,expected_amount,currency,payment_reference
TUP-S-000056,2026-09-22,2026-09-22 07:16:13,AG-023,254700395024,Western,FERT-DAP-50KG,192.50,USD,TUP-S-000056
TUP-S-000031,2026-09-22,2026-09-22 07:28:02,AG-060,254700496631,Eastern,FERT-CAN-50KG,589.00,USD,TUP-S-000031
TUP-S-000025,2026-09-22,2026-09-22 07:54:51,AG-036,254700317278,Eastern,TREE-SEEDLING-GREV,5.25,USD,TUP-S-000025
TUP-S-000017,2026-09-22,2026-09-22 07:55:29,AG-006,254700640052,Coast,SOLAR-HOME-KIT,290.00,USD,TUP-S-000017
TUP-S-000039,2026-09-22,2026-09-22 08:07:54,AG-020,254700648877,Western,SOLAR-HOME-KIT,435.00,USD,TUP-S-000039
TUP-S-000010,2026-09-22,2026-09-22 08:13:37,AG-058,254700051834,Coast,FERT-DAP-50KG,308.00,USD,TUP-S-000010
TUP-S-000055,2026-09-22,2026-09-22 08:14:56,AG-054,254700839335,Nyanza,STORAGE-BAG-PICS,19.60,USD,TUP-S-000055
TUP-S-000041,2026-09-22,2026-09-22 08:36:11,AG-021,254700451680,Coast,FERT-DAP-50KG,77.00,USD,TUP-S-000041
TUP-S-000012,2026-09-22,2026-09-22 08:46:56,AG-004,254700801326,Central,SOLAR-HOME-KIT,435.00,USD,TUP-S-000012
TUP-S-000054,2026-09-22,2026-09-22 08:48:31,AG-044,254700585064,Nyanza,SEED-MAIZE-H614-2KG,50.40,USD,TUP-S-000054
TUP-S-000057,2026-09-22,2026-09-22 09:20:04,AG-039,254700766177,Nyanza,FERT-DAP-50KG,77.00,USD,TUP-S-000057
TUP-S-000058,2026-09-22,2026-09-22 09:40:04,AG-018,254700766177,Eastern,FERT-DAP-50KG,77.00,USD,TUP-S-000058
TUP-S-000013,2026-09-22,2026-09-22 09:49:04,AG-013,254700430980,Coast,TREE-SEEDLING-GREV,5.60,USD,TUP-S-000013
TUP-S-000049,2026-09-22,2026-09-22 10:18:42,AG-043,254700074821,Central,SOLAR-HOME-KIT,290.00,USD,TUP-S-000049
TUP-S-000035,2026-09-22,2026-09-22 10:56:20,AG-048,254700749894,Western,FERT-NPK-50KG,62.00,USD,TUP-S-000035
TUP-S-000028,2026-09-22,2026-09-22 11:00:53,AG-032,254700346706,Rift Valley,TREE-SEEDLING-GREV,7.00,USD,TUP-S-000028
TUP-S-000014,2026-09-22,2026-09-22 11:16:54,AG-026,254700193990,Eastern,STORAGE-BAG-PICS,8.40,USD,TUP-S-000014
TUP-S-000024,2026-09-22,2026-09-22 11:27:26,AG-031,254700917693,Coast,FERT-DAP-50KG,77.00,USD,TUP-S-000024
TUP-S-000005,2026-09-22,2026-09-22 11:52:26,AG-005,254700395376,Coast,SEED-BEANS-2KG,72.80,USD,TUP-S-000005
TUP-S-000047,2026-09-22,2026-09-22 11:55:12,AG-034,254700692221,Eastern,FERT-NPK-50KG,288.00,USD,TUP-S-000047
TUP-S-000001,2026-09-22,2026-09-22 12:00:24,AG-016,254700321819,Central,FERT-CAN-50KG,31.00,USD,TUP-S-000001
TUP-S-000002,2026-09-22,2026-09-22 12:03:51,AG-052,254700026542,Nyanza,SOLAR-HOME-KIT,435.00,USD,TUP-S-000002
TUP-S-000007,2026-09-22,2026-09-22 12:20:34,AG-028,254700270482,Eastern,SEED-BEANS-2KG,22.40,USD,TUP-S-000007
TUP-S-000022,2026-09-22,2026-09-22 12:37:49,AG-043,254700656482,Nyanza,SEED-SORGHUM-2KG,52.70,USD,TUP-S-000022
TUP-S-000037,2026-09-22,2026-09-22 12:41:36,AG-043,254700123281,Nyanza,SEED-MAIZE-H614-2KG,37.80,USD,TUP-S-000037
TUP-S-000015,2026-09-22,2026-09-22 12:45:20,AG-060,254700107991,Western,SEED-SORGHUM-2KG,46.50,USD,TUP-S-000015
TUP-S-000020,2026-09-22,2026-09-22 12:58:32,AG-018,254700145868,Rift Valley,SEED-MAIZE-H614-2KG,54.60,USD,TUP-S-000020
TUP-S-000960,2026-09-22,2026-09-22 13:00:03,AG-022,07001234,Central,SOLAR-LAMP-S1,24.00,USD,TUP-S-000960
TUP-S-000045,2026-09-22,2026-09-22 13:02:37,AG-056,254700171870,Coast,TREE-SEEDLING-GREV,6.65,USD,TUP-S-000045
TUP-S-000044,2026-09-22,2026-09-22 13:03:06,AG-036,254700867533,Eastern,SOLAR-HOME-KIT,77.00,USD,TUP-S-000044
TUP-S-000038,2026-09-22,2026-09-22 13:15:24,AG-051,254700936183,Coast,SEED-MAIZE-H614-2KG,37.80,USD,TUP-S-000038
TUP-S-000004,2026-09-22,2026-09-22 13:44:20,AG-023,254700341928,Coast,SEED-BEANS-2KG,33.60,USD,TUP-S-000004
TUP-S-000959,2026-09-22,2026-09-22 13:47:01,AG-019,254700280988,Nyanza,FERT-CAN-50KG,-31.00,USD,TUP-S-000959
TUP-S-000040,2026-09-22,2026-09-22 13:56:45,AG-034,254700742967,Western,FERT-NPK-50KG,576.00,USD,TUP-S-000040
TUP-S-000019,2026-09-22,2026-09-22 14:30:20,AG-002,254700256342,Coast,FERT-NPK-50KG,216.00,USD,TUP-S-000019
TUP-S-000032,2026-09-22,2026-09-22 14:38:48,AG-053,254700716572,Central,SEED-BEANS-2KG,5.60,USD,TUP-S-000032
TUP-S-000009,2026-09-22,2026-09-22 14:42:10,AG-014,254700834657,Eastern,TREE-SEEDLING-GREV,7.00,USD,TUP-S-000009
TUP-S-000011,2026-09-22,2026-09-22 14:42:39,AG-027,254700701065,Western,SOLAR-LAMP-S1,288.00,USD,TUP-S-000011
TUP-S-000033,2026-09-22,2026-09-22 15:12:23,AG-016,254700799650,Central,FERT-CAN-50KG,279.00,USD,TUP-S-000033
TUP-S-000043,2026-09-22,2026-09-22 15:18:55,AG-036,254700263982,Western,SOLAR-HOME-KIT,308.00,USD,TUP-S-000043
TUP-S-000029,2026-09-22,2026-09-22 15:24:17,AG-012,254700046537,Rift Valley,SOLAR-LAMP-S1,120.00,USD,TUP-S-000029
TUP-S-000052,2026-09-22,2026-09-22 15:34:58,AG-002,254700985931,Coast,FERT-CAN-50KG,248.00,USD,TUP-S-000052
,2026-09-22,2026-09-22 15:38:01,AG-007,254700111161,Western,SEED-BEANS-2KG,11.20,USD,
TUP-S-000036,2026-09-22,2026-09-22 15:41:48,AG-008,254700167190,Nyanza,FERT-DAP-50KG,115.50,USD,TUP-S-000036
TUP-S-000042,2026-09-22,2026-09-22 15:49:26,AG-008,254700093248,Western,SEED-SORGHUM-2KG,145.00,USD,TUP-S-000042
TUP-S-000034,2026-09-22,2026-09-22 15:53:39,AG-036,254700377701,Rift Valley,SEED-MAIZE-H614-2KG,77.00,USD,TUP-S-000034
TUP-S-000008,2026-09-22,2026-09-22 15:53:41,AG-002,254700154303,Eastern,STORAGE-BAG-PICS,30.80,USD,TUP-S-000008
TUP-S-000048,2026-09-22,2026-09-22 15:55:35,AG-044,254700379237,Coast,SOLAR-LAMP-S1,480.00,USD,TUP-S-000048
TUP-S-000006,2026-09-22,2026-09-22 15:59:03,AG-006,254700012269,Western,FERT-NPK-50KG,612.00,USD,TUP-S-000006
